MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Abaíra;8316;94,22;0,603;0,577;0,746;0,51;148;14,61;197;625
Abaré;17064;66,02;0,575;0,533;0,776;0,46;132;6,77;196;2082
Acajutiba;14653;74,67;0,582;0,56;0,723;0,487;164;8,88;201;1079
Adustina;15702;41,67;0,546;0,526;0,718;0,432;139;7,9;147;1324
Água Fria;15731;50,8;0,55;0,529;0,747;0,422;174;9,8;236;1977
Aiquara;4602;79,14;0,583;0,573;0,733;0,471;55;10,13;57;498
Alagoinhas;141949;90,72;0,683;0,681;0,79;0,592;899;7,28;1595;7678
Alcobaça;21271;64,59;0,608;0,611;0,771;0,476;148;6,53;164;1564
Almadina;6357;84,84;0,563;0,563;0,751;0,421;89;10,79;79;762
Amargosa;34351;83,56;0,625;0,616;0,807;0,492;437;10,17;611;3176
Amélia Rodrigues;25190;77,07;0,666;0,609;0,81;0,6;156;6,99;233;1595
América Dourada;15961;63,62;0,561;0,506;0,751;0,464;119;7,3;133;1362
Anagé;25516;30,91;0,54;0,549;0,771;0,371;343;11,09;351;2912
Andaraí;13960;39,12;0,555;0,54;0,764;0,415;105;7,42;143;1758
Andorinha;14414;52,5;0,588;0,586;0,731;0,474;137;8,66;193;1170
Angical;14073;74,43;0,625;0,564;0,778;0,556;117;8,7;112;1086
Anguera;10242;57,06;0,589;0,565;0,766;0,471;94;10,62;165;1620
Antas;17072;81,03;0,592;0,573;0,739;0,491;219;10,22;203;1882
Antônio Cardoso;11554;40,06;0,561;0,544;0,768;0,422;126;9,48;160;1160
Antônio Gonçalves;11015;65,03;0,598;0,58;0,741;0,498;110;8,63;130;925
Aporá;17731;75;0,548;0,516;0,751;0,425;176;9,39;213;1560
Apuarema;7459;72,25;0,552;0,555;0,735;0,413;54;7,87;71;837
Araças;11561;65,7;0,57;0,54;0,744;0,462;83;5,25;86;801
Aracatu;13743;49,51;0,581;0,591;0,754;0,439;153;10,43;191;1234
Araci;51651;41,2;0,534;0,534;0,747;0,381;426;7,35;491;4956
Aramari;10036;71,65;0,588;0,568;0,761;0,47;81;7,82;119;958
Arataca;10392;61,84;0,559;0,557;0,758;0,413;88;6,78;63;960
Aratuípe;8599;68,24;0,575;0,57;0,753;0,443;48;6,64;69;773
Aurelino Leal;13595;69,73;0,568;0,555;0,759;0,434;122;7,62;116;1382
Baianópolis;13850;68,85;0,589;0,543;0,763;0,492;120;8,3;129;782
Baixa Grande;20060;41,13;0,585;0,549;0,775;0,471;217;9,37;276;1625
Banzaê;11814;93,49;0,579;0,539;0,769;0,468;109;8,97;119;1409
Barra;49325;54,28;0,557;0,503;0,75;0,457;279;6,39;393;5919
Barra da Estiva;21187;81,26;0,575;0,566;0,717;0,469;129;6,65;197;1880
Barra do Choça;34788;80,33;0,551;0,563;0,77;0,386;266;7,28;243;2361
Barra do Mendes;13987;79,08;0,63;0,578;0,784;0,553;133;10,85;214;1187
Barra do Rocha;6313;72,57;0,577;0,585;0,705;0,465;50;7,97;53;649
Barreiras;137427;90,73;0,721;0,695;0,807;0,668;545;4,29;653;6015
Barro Alto;13612;71,07;0,607;0,551;0,739;0,55;110;8,99;120;858
Barrocas;14191;63,26;0,61;0,574;0,786;0,503;91;6,45;111;591
Barro Preto;6453;75,98;0,602;0,576;0,744;0,508;62;8,86;63;837
Belmonte;21798;75,07;0,598;0,577;0,771;0,48;163;7,56;188;2683
Belo Campo;16021;62,82;0,575;0,562;0,76;0,444;186;10;206;1691
Biritinga;14836;57,7;0,538;0,525;0,738;0,402;152;9,03;190;2008
Boa Nova;15411;64,09;0,567;0,535;0,753;0,453;216;11;213;1725
Boa Vista do Tupim;17991;32,75;0,551;0,514;0,729;0,447;188;8,48;215;1933
Bom Jesus da Lapa;63480;75,97;0,633;0,615;0,775;0,533;378;6,27;486;4638
Bom Jesus da Serra;10113;33;0,546;0,535;0,749;0,407;108;9,81;135;1039
Boninal;13695;84,51;0,612;0,564;0,789;0,514;129;10,7;222;1695
Bonito;14834;65,67;0,561;0,552;0,685;0,467;46;4,66;70;663
Boquira;22037;53,92;0,603;0,564;0,782;0,497;225;10,68;328;1758
Botuporã;11154;53,86;0,575;0,543;0,754;0,464;141;9,52;134;921
Brejões;14282;66,02;0,597;0,56;0,775;0,49;154;8,74;195;1961
Brejolândia;11077;59,8;0,592;0,533;0,746;0,523;105;9,16;132;1235
Brotas de Macaúbas;10717;65,25;0,57;0,552;0,754;0,445;139;12,77;193;976
Brumado;64602;77,8;0,656;0,63;0,807;0,554;524;8,45;779;4589
